                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7776,                 3.7589,                 1.5752,                0.45383,                0.41531,                0.39097,                0.19967,                 1.7405,                  2.474,                 1.6109,             0.00025608,             0.00025608,             0.00025608
                      2,                 1.7076,                 2.2628,                 1.5317,                0.55264,                0.50818,                 0.5186,                0.26443,                 1.7427,                  1.789,                 1.6049,             0.00051192,             0.00051192,             0.00051192
                      3,                 1.6813,                 1.9578,                 1.5273,                0.56199,                0.56119,                0.55274,                0.29631,                 1.6346,                 1.5774,                 1.4945,             0.00076575,             0.00076575,             0.00076575
                      4,                 1.6463,                 1.7916,                 1.5052,                0.59824,                0.60227,                0.59649,                 0.3125,                 1.6701,                 1.5578,                 1.5297,             0.00076226,             0.00076226,             0.00076226
                      5,                 1.6064,                 1.6469,                 1.4634,                0.65847,                0.60063,                0.63049,                0.33178,                 1.6671,                 1.4458,                 1.4997,             0.00075704,             0.00075704,             0.00075704
                      6,                 1.5885,                 1.6062,                 1.4549,                0.67949,                0.61508,                0.65648,                0.35295,                 1.5835,                  1.403,                 1.4704,             0.00075037,             0.00075037,             0.00075037
                      7,                   1.55,                 1.5186,                  1.428,                0.67865,                0.63528,                0.66995,                0.34847,                 1.6602,                 1.3608,                 1.4906,             0.00074227,             0.00074227,             0.00074227
                      8,                 1.5493,                  1.481,                  1.415,                0.68018,                0.65631,                0.69285,                0.36458,                 1.6175,                 1.3182,                 1.4524,             0.00073277,             0.00073277,             0.00073277
                      9,                 1.5314,                 1.4459,                 1.4047,                0.66601,                0.66218,                0.67653,                0.35641,                 1.6398,                 1.3302,                 1.4762,             0.00072192,             0.00072192,             0.00072192
                     10,                  1.522,                  1.401,                 1.4011,                0.67812,                0.67561,                0.70656,                0.38512,                  1.577,                  1.242,                 1.4496,             0.00070974,             0.00070974,             0.00070974
                     11,                 1.5174,                 1.3804,                  1.387,                0.69933,                 0.6831,                0.71325,                0.38805,                  1.561,                 1.2447,                 1.4443,              0.0006963,              0.0006963,              0.0006963
                     12,                 1.4874,                 1.3487,                 1.3753,                0.68248,                0.70809,                0.72322,                0.39353,                 1.5693,                 1.1863,                 1.4286,             0.00068164,             0.00068164,             0.00068164
                     13,                 1.4748,                 1.2999,                 1.3681,                0.71602,                0.70711,                0.74793,                0.39966,                 1.5953,                 1.1703,                 1.4517,             0.00066583,             0.00066583,             0.00066583
                     14,                 1.4729,                 1.2724,                  1.359,                0.73583,                0.70526,                0.75661,                0.41293,                 1.5505,                 1.1502,                  1.424,             0.00064892,             0.00064892,             0.00064892
                     15,                 1.4578,                 1.2693,                 1.3576,                0.71326,                0.71274,                0.74005,                0.41685,                 1.5444,                 1.1301,                 1.4043,             0.00063098,             0.00063098,             0.00063098
                     16,                 1.4557,                 1.2385,                 1.3539,                0.72965,                0.71031,                0.75532,                0.42425,                 1.5237,                 1.1056,                 1.4113,             0.00061209,             0.00061209,             0.00061209
                     17,                 1.4475,                 1.2094,                 1.3492,                0.74892,                0.72029,                0.77254,                0.42269,                 1.5447,                 1.0882,                 1.4071,             0.00059231,             0.00059231,             0.00059231
                     18,                 1.4412,                 1.1936,                 1.3414,                0.73832,                0.74126,                 0.7765,                0.42521,                 1.5639,                 1.0765,                 1.4167,             0.00057173,             0.00057173,             0.00057173
                     19,                 1.4284,                   1.18,                 1.3309,                0.75881,                0.73901,                0.78708,                0.44477,                 1.5014,                 1.0492,                 1.3815,             0.00055042,             0.00055042,             0.00055042
                     20,                 1.4187,                 1.1453,                 1.3258,                 0.7521,                0.74045,                0.79039,                0.45352,                 1.5032,                 1.0431,                 1.3772,             0.00052847,             0.00052847,             0.00052847
                     21,                 1.4092,                 1.1391,                 1.3157,                0.74723,                0.74067,                0.78686,                0.44996,                 1.5042,                 1.0381,                 1.3922,             0.00050597,             0.00050597,             0.00050597
                     22,                 1.3979,                 1.1053,                  1.315,                0.75519,                0.75026,                0.79045,                0.45209,                  1.492,                 1.0156,                 1.3677,             0.00048301,             0.00048301,             0.00048301
                     23,                 1.3932,                 1.1061,                 1.3118,                0.76999,                0.74607,                0.79842,                0.44952,                 1.5145,                 1.0219,                 1.3875,             0.00045967,             0.00045967,             0.00045967
                     24,                  1.379,                 1.0835,                  1.305,                0.77479,                0.74607,                0.80068,                 0.4577,                 1.5008,                 1.0036,                 1.3764,             0.00043605,             0.00043605,             0.00043605
                     25,                  1.389,                 1.0685,                 1.3044,                0.77264,                0.74707,                0.80322,                0.45897,                  1.502,                0.98123,                 1.3755,             0.00041225,             0.00041225,             0.00041225
                     26,                 1.3635,                  1.037,                 1.2885,                0.76929,                0.76687,                0.80809,                0.47158,                 1.4661,                0.97449,                  1.358,             0.00038835,             0.00038835,             0.00038835
                     27,                 1.3554,                 1.0291,                 1.2856,                0.76897,                0.78193,                0.81759,                0.46958,                  1.487,                0.97962,                 1.3655,             0.00036444,             0.00036444,             0.00036444
                     28,                 1.3542,                 1.0149,                 1.2771,                0.78546,                0.75926,                0.81875,                0.46772,                  1.501,                0.95584,                 1.3678,             0.00034064,             0.00034064,             0.00034064
                     29,                 1.3302,                0.98689,                 1.2732,                0.79123,                0.76751,                0.82339,                0.47455,                 1.4828,                0.93991,                 1.3586,             0.00031702,             0.00031702,             0.00031702
                     30,                 1.3306,                0.98049,                 1.2635,                0.76381,                0.78255,                0.81933,                0.46964,                 1.5007,                0.94581,                 1.3719,             0.00029368,             0.00029368,             0.00029368
                     31,                 1.3229,                0.97887,                 1.2694,                0.77187,                 0.7804,                0.82023,                0.47636,                 1.4679,                0.94636,                 1.3585,             0.00027072,             0.00027072,             0.00027072
                     32,                 1.3131,                0.95048,                 1.2598,                0.78505,                0.77876,                0.82427,                0.48291,                 1.4642,                0.92287,                 1.3482,             0.00024822,             0.00024822,             0.00024822
                     33,                 1.2943,                0.92467,                 1.2492,                0.78744,                0.78121,                0.82547,                 0.4818,                 1.4685,                0.92292,                 1.3522,             0.00022627,             0.00022627,             0.00022627
                     34,                 1.2959,                0.92865,                 1.2517,                0.79829,                0.77617,                0.83261,                0.48827,                 1.4605,                0.91458,                 1.3484,             0.00020496,             0.00020496,             0.00020496
                     35,                 1.2881,                0.90109,                 1.2445,                0.78821,                0.77206,                0.82834,                0.48628,                 1.4605,                0.91118,                 1.3486,             0.00018438,             0.00018438,             0.00018438
                     36,                  1.287,                0.90543,                 1.2469,                0.78377,                0.78192,                0.82837,                0.48746,                 1.4557,                0.91566,                 1.3493,              0.0001646,              0.0001646,              0.0001646
                     37,                  1.275,                0.89862,                 1.2353,                0.79188,                0.78499,                 0.8326,                0.49487,                 1.4452,                0.90872,                 1.3409,             0.00014571,             0.00014571,             0.00014571
                     38,                 1.2649,                0.88608,                 1.2327,                0.79192,                0.77526,                0.82829,                0.48837,                 1.4611,                0.90988,                 1.3538,             0.00012777,             0.00012777,             0.00012777
                     39,                 1.2504,                0.85567,                 1.2223,                0.78306,                0.78642,                0.82591,                0.48948,                 1.4536,                 0.8997,                 1.3471,             0.00011086,             0.00011086,             0.00011086
                     40,                 1.2511,                0.85599,                 1.2233,                0.79289,                0.78582,                0.82984,                0.48839,                 1.4593,                0.89893,                 1.3468,             9.5045e-05,             9.5045e-05,             9.5045e-05
                     41,                 1.2509,                0.75341,                 1.2262,                0.80017,                 0.7837,                0.83626,                0.49461,                 1.4542,                0.88884,                 1.3453,             8.0389e-05,             8.0389e-05,             8.0389e-05
                     42,                 1.2372,                0.73204,                 1.2185,                0.81631,                0.78256,                0.83983,                0.49489,                 1.4646,                 0.8861,                 1.3565,             6.6947e-05,             6.6947e-05,             6.6947e-05
                     43,                 1.2317,                0.72647,                  1.219,                0.80306,                0.78737,                0.83699,                 0.4962,                 1.4577,                0.88842,                 1.3547,             5.4774e-05,             5.4774e-05,             5.4774e-05
                     44,                 1.2217,                0.71755,                 1.2136,                0.81718,                0.77529,                0.83732,                0.49358,                 1.4648,                  0.892,                 1.3575,             4.3918e-05,             4.3918e-05,             4.3918e-05
                     45,                 1.2172,                0.70732,                 1.2087,                0.80929,                0.77739,                0.83363,                0.49467,                 1.4599,                0.89234,                 1.3527,             3.4421e-05,             3.4421e-05,             3.4421e-05
                     46,                 1.2139,                0.70687,                 1.2101,                0.81598,                0.77743,                0.83945,                0.49648,                 1.4581,                0.88521,                 1.3529,             2.6321e-05,             2.6321e-05,             2.6321e-05
                     47,                 1.2015,                0.69044,                 1.2058,                0.79934,                0.78795,                 0.8373,                 0.4975,                 1.4552,                0.88616,                 1.3532,             1.9649e-05,             1.9649e-05,             1.9649e-05
                     48,                 1.2069,                0.69202,                 1.2041,                0.81669,                0.77443,                0.83835,                0.49957,                 1.4558,                0.88794,                 1.3527,             1.4432e-05,             1.4432e-05,             1.4432e-05
                     49,                 1.2028,                0.68775,                 1.2002,                0.80415,                0.78841,                0.83894,                0.49656,                  1.463,                0.88748,                 1.3566,             1.0692e-05,             1.0692e-05,             1.0692e-05
                     50,                 1.2063,                 0.6931,                  1.203,                0.79881,                0.79176,                0.83608,                0.49725,                 1.4568,                0.88702,                 1.3542,             8.4411e-06,             8.4411e-06,             8.4411e-06
